"address","descriptive_name","confidence","disc1_present","disc2_present","instructions","static_call_sites","direct_callees","has_return","disc1_overlay_referenced","disc2_overlay_referenced","embedded_asset_range","disc1_seed_evidence","disc2_seed_evidence","disc1_exact_sha256","disc2_exact_sha256","structural_sha256","sf3_address","sf3_match_kind"
"0x80048e54",,,"1","1","55","10","2","1","0","0","0","direct_call","direct_call","5a9b3c1342052fc686bf094482fa299defa1054efedb98e8cf255a5c055f931d","5a9b3c1342052fc686bf094482fa299defa1054efedb98e8cf255a5c055f931d","439fde7202ea98a9455af94873944dc2a83d029b86a3b1335933f6b623776f2b",,
"0x80048f30",,,"1","1","60","9","0","1","1","0","0","direct_call+overlay","direct_call","c81398f9bc7f68ac1fa353305aa0026d74a371ccbdbdf208751ff09d267b2344","c81398f9bc7f68ac1fa353305aa0026d74a371ccbdbdf208751ff09d267b2344","d8e09073bb74acc09effcd6e5d99157e748eaff3bbd52ceaeecdcef6ed0a3a45",,
"0x80049020",,,"1","1","38","1","1","1","0","0","0","direct_call","direct_call","ad254b620e81412d403514602ffea704273669c562a309543cff5af1fa15feca","ad254b620e81412d403514602ffea704273669c562a309543cff5af1fa15feca","2ce78b5d20ca34e5fc826b3d68887554bbd5ff8089e4a3f1fd5a083b85ed2c9d","0x8004A1E0","structural"
"0x800490b8",,,"1","1","444","1","5","1","0","0","0","direct_call","direct_call","81eb5dacc5a526e407c801aab8feb21528496b0c30405620b38b63eff45a91b8","81eb5dacc5a526e407c801aab8feb21528496b0c30405620b38b63eff45a91b8","9c2718da7ba1987cb28ae9d9d3980bd30c651d9a122c466768d387f68adb94f1",,
"0x800497a8",,,"1","1","102","2","3","1","0","0","0","direct_call","direct_call","3ad6764f094f06b21a7c4e6cfc3b0f6bd5566b264f6b553cbc68c842e0a4079a","3ad6764f094f06b21a7c4e6cfc3b0f6bd5566b264f6b553cbc68c842e0a4079a","9938a041ec190d1e847685b36a2c30b6f69f7feac3d37995513493b7e91cbcee","0x8004AAF0","structural"
"0x80049940","ActorCameraRenderCollision_Update","provisional","1","1","452","1","9","1","0","0","0","direct_call","direct_call","d0fa64c597f586a8f81da326c20d7d92924be327505b9c71aafa183a231e3c14","d0fa64c597f586a8f81da326c20d7d92924be327505b9c71aafa183a231e3c14","e34bfb6cff36981e9d018fbcdf953db6da7ada4097136cb45ce6a9a426bc8ef4",,
"0x8004a050",,,"1","1","133","2","2","1","0","0","0","direct_call","direct_call","712cf45698031058e057757174a7dc8879a91388784c17d4158663699d22728f","712cf45698031058e057757174a7dc8879a91388784c17d4158663699d22728f","2a29f8fff117ea44e8b0350b9e19854639ad4bb895fbf6507223da0fbc8ee0c7","0x8004B438","structural"
"0x8004a264",,,"1","1","567","1","12","1","0","0","0","direct_call","direct_call","d874b67719e8c0e045b0c599153cd80db3dfb58df333a87a9f319ef9c071ec48","d874b67719e8c0e045b0c599153cd80db3dfb58df333a87a9f319ef9c071ec48","fd6659d73b7ab549b8455ccdc4d02cf165096bc3c9ecbf2b6f88c4220d8a368b",,
"0x8004ab40",,,"1","1","12","1","0","1","0","0","0","direct_call","direct_call","dee3f152059806c55dc115215c7d7b31744ef681b9865b8ef37e92fd45db894a","dee3f152059806c55dc115215c7d7b31744ef681b9865b8ef37e92fd45db894a","da00682ed02ab51ebbd761371f3e7f5900f1fa6f73ffe562e30967da74c22199","0x8004C060","structural"
"0x8004ab70",,,"1","1","7","1","0","1","0","0","0","direct_call","direct_call","311811b96227d48fcbd017c0c5a1023697b7f9589262b674b16954498d000d26","311811b96227d48fcbd017c0c5a1023697b7f9589262b674b16954498d000d26","f17b9276dd0090142a261c5f5ec13bdef81ab8d8019433e3a0f5b03f4bdd9727","0x8004C090","structural"
"0x8004ab8c",,,"1","1","14","4","0","1","0","0","0","direct_call","direct_call","75faa9b9c18dc60ad3115e22eaeb8422f812bc603b80fe5675a3fe1836ed5633","75faa9b9c18dc60ad3115e22eaeb8422f812bc603b80fe5675a3fe1836ed5633","d4ca12f93158f6f9ce6f18eaa49d4a70064b33e847e91f4474b780d2ba16e034",,
"0x8004abc4",,,"1","1","8","2","0","1","0","0","0","direct_call","direct_call","f9e79fe29e2581e907009f305abcd742f33715ff66cfa5c87743ef318a8250e4","f9e79fe29e2581e907009f305abcd742f33715ff66cfa5c87743ef318a8250e4","86f941944e2a586b8780f8f1f67c975d62ab92e76c067ea31a24adac6472ed1e","0x8004C0F0","structural"
"0x8004abe4",,,"1","1","99","0","1","1","0","0","0","prologue_only","prologue_only","8a000c0244b1d1ff58522ef42789ff3612b981746859c5dccce15d79b311bd9b","8a000c0244b1d1ff58522ef42789ff3612b981746859c5dccce15d79b311bd9b","1b9ddfb46a5073cc59dfd097955ad9a79ef6c924aa1d210de425d83f4670ee7c","0x8004C110","structural"
"0x8004ae90",,,"1","1","218","1","0","1","0","0","0","direct_call","direct_call","2c8fa66231d40372298b227ddc4b01e643f5547b49857ed498e6ae30f35bbe37","2c8fa66231d40372298b227ddc4b01e643f5547b49857ed498e6ae30f35bbe37","405e5bae4d109535394d0080cd1483c0d5e942350be2255fce51492943e53167",,
"0x8004b224",,,"1","1","233","0","0","1","0","0","0","prologue_only","prologue_only","577ccfa856f0e65b0cd2ed6efa48dad9bc0177f82ef6e1884b22f4ddbdd721f9","577ccfa856f0e65b0cd2ed6efa48dad9bc0177f82ef6e1884b22f4ddbdd721f9","9e7eaf9308c2d2a19f1fbff35438d21fb1b4f59663bb1fe501423a9d4eb987fa",,
"0x8004b5c8",,,"1","1","261","0","2","1","0","0","0","prologue_only","prologue_only","61388df586288155b0acfae90878d3de461de72db66487f721c4baa3ca5a0056","61388df586288155b0acfae90878d3de461de72db66487f721c4baa3ca5a0056","8a4e1498097f66a71d66663b603a819fa288905a90f71ecde533e2e1e124fa68","0x8004CAD8","structural"
"0x8004b9dc",,,"1","1","8","5","0","1","0","1","0","direct_call","direct_call+overlay","86e3deeb0d44b8f41f1b7167029debb09e61fc319e2986a0a7cbb1d3204784ad","86e3deeb0d44b8f41f1b7167029debb09e61fc319e2986a0a7cbb1d3204784ad","97b8365ce2b27e1186398bd1521b212364e4f2ac3c88caa4448db73b0d10f716","0x8004CEEC","structural"
"0x8004b9fc",,,"1","1","385","2","7","0","0","0","0","direct_call","direct_call","1a9199c46a1023547ee6fe3142072efa070dcc78f5622f55ec3b8cf1b17af8e9","1a9199c46a1023547ee6fe3142072efa070dcc78f5622f55ec3b8cf1b17af8e9","15b6d3b3b7f881093cc190ed7eef3a05708fa90bbd3dd6b446a1833cb091045b",,
"0x8004c000",,,"1","1","47","3","0","1","0","0","0","direct_call","direct_call","7d5c91d75c08d29a39a93e5f770f5a2058e0856894a461ee7ffb12cd10626c36","7d5c91d75c08d29a39a93e5f770f5a2058e0856894a461ee7ffb12cd10626c36","9e2154541e81d633566433fc23517a156faa1257c503385fc362c37fb3ccbe29",,
"0x8004c0bc",,,"1","1","127","1","0","1","0","0","0","direct_call","direct_call","69bfbb800425d5a32d587141f8b76d631c6223f9fff13ce3f2caf18114b4a5e9","69bfbb800425d5a32d587141f8b76d631c6223f9fff13ce3f2caf18114b4a5e9","972f8b6a87a4dc8448962b41075a757e80eb6784c9a996b7d9a12b8380d678a2","0x8004D5CC","structural"
"0x8004c2b8",,,"1","1","55","1","2","1","0","0","0","direct_call","direct_call","f7c2e23dcecb2ababfcc274df641e4639f6f0ed5b796d7a12adec1e0c48c90bf","f7c2e23dcecb2ababfcc274df641e4639f6f0ed5b796d7a12adec1e0c48c90bf","5bcd8e520a9703af510447aa5564eecc16d0e722668973a59791058b16efbe37","0x8004D7C8","structural"
